block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	97	s_branch	16	10	0	0	6	0	3	0	0	-	-
6	99	682	-	584	505	40	0	14	25	14	9	1	5,5,4,6,5,8,5,0,5,8,5,6,5,4,6,5,5,4,5,4,3,2,1,0	0
7	684	685	-	2	1	0	0	1	0	1	0	0	-	-
8	687	689	s_cbranch_scc1	3	1	0	0	2	0	1	0	0	-	-
9	691	693	s_branch	3	1	0	0	2	0	1	0	0	-	-
10	695	994	-	300	254	20	0	10	16	12	9	1	5,6,5,4,4,3,8,5,6,5,4,3,2,1,0	0
11	996	997	-	2	1	0	0	1	0	1	0	0	-	-
12	999	1000	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
13	1002	1003	s_branch	2	0	0	0	2	0	0	0	0	-	-
14	1005	1153	-	149	123	10	0	9	7	10	8	1	5,5,3,2,1,0	0
15	1155	1156	-	2	1	0	0	1	0	1	0	0	-	-
16	1158	1159	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
17	1161	1226	-	66	32	0	0	34	0	8	0	0	-	-
18	1228	1233	-	6	5	0	1	0	0	1	0	0	-	-
19	1235	1236	s_cbranch_execz	2	0	0	0	2	0	0	0	0	-	-
20	1238	1253	-	16	4	0	0	12	0	1	0	0	-	-
21	1255	1271	s_cbranch_scc0	17	4	0	0	13	0	1	0	0	-	-
22	1273	1286	-	14	9	0	1	3	1	2	0	1	-	0
23	1288	1289	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
24	1291	1297	s_branch	7	5	0	0	2	0	2	0	0	-	-
25	1299	1303	-	5	4	0	0	1	0	1	0	0	-	-
26	1305	1306	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
27	1308	1323	s_branch	16	8	0	0	6	2	4	0	1	-	0,0
28	1325	1325	-	1	0	0	0	1	0	0	0	0	-	-
29	1327	1328	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
30	1330	1345	s_branch	16	8	0	0	6	2	4	0	1	-	0,0
31	1347	1347	-	1	0	0	0	1	0	0	0	0	-	-
32	1349	1358	s_cbranch_scc1	10	3	1	0	5	1	2	0	0	-	0
